unit;rzb_cdr_counterparty_code;entity_type;entity_type_desc;rzb_cdr_counterparty_name;rzb_cdr_internal_rating;rzb_cdr_ead_pre_ccf;rzb_cdr_ead_pre_ccf;cc;cc1;dqi_check
RBRU;885468;6;Small Medium Business (SMB);AVANGARD OOO;SME_10;8804.910979;8804.910979;885468;885468;OK
RBAL;886999;6;Small Medium Business (SMB);EUROMADE SHPK;SME_10;58670.18284;58670.18284;886999;886999;OK
TLSK;1398159;6;Small Medium Business (SMB);Altineki star, s.r.o., v likvidacii;SME_10;14424.73;14424.73;1398159;1398159;OK
RBRU;1779029;3;Corporates;OOO SEYK;CORP_10;0.000257106;0.000257106;1779029;1779029;OK
RBRO;1815129;6;Small Medium Business (SMB);AMNIOCEN SRL;SME_10;5.625351584;5.625351584;;1815129;ERROR
RLRO;432542;3;Corporates;POSTA ATLASSIB CURIER RAPID SRL;CORP_10;2140.9488;2140.9488;432542;432542;OK
AVAL;599558;6;Small Medium Business (SMB);Katiusha;SME_10;215747.1168;215747.1168;599558;599558;OK
TBSK;205422;3;Corporates;KFD s.r.o.;CORP_10;493818.7577;493818.7577;205422;205422;OK
RBRO;205793;6;Small Medium Business (SMB);SC GESOFID IMPEX SRL;SME_10;866.222851;866.222851;205793;;OK
RLRS;676544;6;Small Medium Business (SMB);PREDUZECE ZA PROIZVODNJU  PROMET I;SME_10;36859.38;36859.38;676544;676544;OK
RBCZ;93062;3;Corporates;KUBISTOVA CO V O S;CORP_10;994607.0702;994607.0702;93062;93062;OK
RBRO;1527070;6;Small Medium Business (SMB);INALCO SRL;SME_10;160622.6953;160622.6953;1527070;1527070;OK
RBRO;1333399;3;Corporates;IHUNT TECHNOLOGY IMPORT-EXPORT SRL;CORP_10;176.3188201;176.3188201;1333399;1333399;OK
RBBH;1628208;3;Corporates;BLOCK DOO SARAJEVO;CORP_10;151983.0865;151983.0865;1628208;1628208;OK
RBHU;156279;34;Other Administrative Body or Non-Commercial Undertaking;Százhalombatta Ady Endre u. 5. sz.-Társasház;CORP_10;61335.51621;61335.51621;156279;;OK
RBRO;560088;3;Corporates;MIKE SECURITY GROUP SRL;CORP_10;172.6513325;172.6513325;560088;560088;OK
AVAL;1018110;6;Small Medium Business (SMB);Selianske (fermerske) hospodarstv-o `ARKOS`;SME_10;55631.72239;55631.72239;1018110;1018110;OK
RLBY1;310827;3;Corporates;RAKAN ODO;CORP_10;1861315;1861315;310827;310827;OK
RBAL;883505;6;Small Medium Business (SMB);GJELBERIMI SHPK;SME_10;38913.92966;38913.92966;883505;883505;OK
RLRO;646939;6;Small Medium Business (SMB);STANIA BAR SRL;SME_10;157681.3456;157681.3456;646939;646939;OK
RBRO;106936;4;Government-Owned Commercial Undertaking;DRUMURI SI PODURI SA CARAS-SEVERIN;CORP_10;147.2108294;147.2108294;;;OK
RBBY;1317979;6;Small Medium Business (SMB);OOO 'L-MEDIKA';SME_10;66305.97524;66305.97524;1317979;1317979;OK
TLSK;1503696;6;Small Medium Business (SMB);Calibro S s.r.o.;SME_10;878.48;878.48;1503696;1503696;OK
RBBH;543603;6;Small Medium Business (SMB);BEDROS DOO BRCKO DISTRIKT;SME_10;4885.971685;4885.971685;543603;543603;OK
RBRU;846980;6;Small Medium Business (SMB);KSENZOVA OLGA YUREVNA (IP);SME_10;7356.376592;7356.376592;846980;846980;OK
AVAL;1023481;6;Small Medium Business (SMB);"FH ""Zevs-D""";SME_10;39.84313622;39.84313622;1023481;1023481;OK
RBI;882;3;Corporates;Bertsch Energy GmbH & Co KG;CORP_10;18179296.34;18179296.34;882;882;OK
RBI;1408854;3;Corporates;PlusHolding GmbH;CORP_10;21091639.79;21091639.79;1408854;1408854;OK
RBHU;956878;34;Other Administrative Body or Non-Commercial Undertaking;Budapest, XXI.ker. Nyírfa u. 11-13.- és Óvoda u. 13-16 sz. Th.;CORP_10;6219.831564;6219.831564;956878;956878;OK
RBBH;192072;3;Corporates;DUHAN DD GRADACAC;CORP_10;246.9693174;246.9693174;;;OK
RBBH;345133;3;Corporates;TOM DD GORNJI VAKUF USKOPLJE;CORP_10;5980.954377;5980.954377;345133;345133;OK
RBI;104126;18;Specialised Lending Project (excl. Commodity);Enisey OOO;SLOT_PF_6.5;150261.2507;150261.2507;104126;104126;OK
RBRO;245970;3;Corporates;EVOLINE IMPEX SRL;CORP_10;2.020203051;2.020203051;245970;245970;OK
RBBY;903719;6;Small Medium Business (SMB);VIZIT LAIN CHP;SME_10;101226.3222;101226.3222;903719;903719;OK
RBRS;1827285;6;Small Medium Business (SMB);STENAD71 DOO BEOGRAD;SME_10;12887.83522;12887.83522;1827285;1827285;OK
